Gender,Height,Weight
Male,73.84701702,241.8935632
Male,68.78190405,162.3104725
Male,74.11010539,212.7408556
Male,71.7309784,220.0424703
Male,69.88179586,206.3498006
Male,67.25301569,152.2121558
Male,68.78508125,183.9278886
Male,68.34851551,167.9711105
Male,67.01894966,175.9294404
Male,63.45649398,156.3996764
Male,71.19538228,186.6049256
Male,71.64080512,213.7411695
Male,64.76632913,167.1274611
Male,69.2830701,189.4461814
Male,69.24373223,186.434168
Male,67.6456197,172.1869301
Male,72.41831663,196.0285063
Male,63.97432572,172.8834702
Male,69.6400599,185.9839576
Male,67.93600485,182.426648
Male,67.91505019,174.1159291
Male,69.43943987,197.7314216
Male,66.14913196,149.173566
Male,75.20597361,228.7617806
Male,67.89319634,162.0066518
Male,68.1440328,192.3439766
Male,69.08963143,184.4351744
Male,72.80084352,206.8281894
Male,67.42124228,175.2139224
Male,68.49641536,154.3426389
Male,68.61811055,187.5068432
Male,74.03380762,212.9102253
Male,71.52821604,195.0322432
Male,69.1801611,205.1836213
Male,69.57720237,204.1641255
Male,70.40092889,192.9035151
Male,69.07617117,197.4882426
Male,67.19352328,183.8109732
Male,65.80731565,163.8518249
Male,64.30418789,163.1080171
Male,67.97433623,172.1355974
Male,72.18942596,194.0454049
Male,65.27034552,168.6177462
Male,66.09017738,161.1934326
Male,67.51032152,164.6602773
Male,70.10478626,188.9223032
Male,68.25183644,187.0605522
Male,72.17270912,209.0708634
Male,69.17985762,192.0143354
Male,72.87036015,211.3424968
Male,64.78258298,165.6116262
Male,70.18354989,201.0719181
Male,68.49145025,173.4239603
Male,67.33083088,181.4076793
Male,66.99094408,169.7377074
Male,66.4995499,163.3095283
Male,68.35305665,189.7102099
Male,70.77445907,192.1248473
Male,71.21592367,198.1984641
Male,70.01336535,209.5264998
Male,71.40318222,198.7597927
Male,69.55200509,198.0795237
Male,73.81853456,195.2906122
Male,66.99688275,164.943303
Male,71.41846589,179.8639023
Male,65.27930021,155.2504207
Male,68.27419147,184.5193912
Male,72.76536995,220.6780415
Male,68.0993798,183.3126553
Male,68.89670607,196.4513123
Male,69.28950996,184.5956083
Male,70.52322452,207.5328385
Male,69.66372523,177.2009288
Male,67.59526881,163.1080022
Male,72.50812038,216.2182301
Male,71.2529856,204.6554938
Male,71.80918689,200.9205712
Male,72.24516548,220.9017699
Male,66.51262766,196.4498603
Male,66.029034,168.64081
Male,67.57715394,181.432713
Male,68.2465686,198.6586733
Male,73.826127,237.9167359
Male,69.80246436,173.0412559
Male,65.95957778,160.6839166
Male,71.07901758,188.6029191
Male,66.59619654,208.345694
Male,68.95153509,193.4351185
Male,68.24446179,174.1096938
Male,72.31682512,197.3685892
Male,71.81542045,201.6206667
Male,65.23704952,181.0119732
Male,70.64053009,182.122486
Male,64.7319256,177.5492634
Male,67.10355118,164.9745807
Male,65.11748489,165.7171122
Male,71.70123402,193.0941635
Male,66.83287821,180.683887
Male,66.47127526,172.7737229
